Item Name,Type,Category,Item Code,Sales Price,Quantity
Mix Print PJ (d1-5 Pj Set),Product,General,0.633,Rs. 750,45 PCS
ROTO Clipper Electric Nail Trimmer,Product,Care And Beauty/Hygiene,2.632,Rs. 800,3 PCS
Nail Clipper Set Box,Product,General,2.3,Rs. 500,6 PCS
Small Bell Toy,Product,General,0.631,Rs. 750,25
X.Q Baby Care,Product,General,0.63,Rs. 950,1
Bottle 2506,Product,Nursing And Feeding,4.629,Rs. 500,3
Toy With Hankey,Product,General,0.627,Rs. 800,20
Muslin Diaper,Product,General,16.627,Rs. 350,2
X.C BAO Jeans Set,Product,General,604626,"Rs. 2,200",12 PCS
Shorts,Product,General,--,Rs. 250,315 PCS
sando jean set,Product,Clothes,0.624,Rs. 850,1 PCS
Zuvara Wet Wipes,Product,Care And Beauty/Hygiene,3.623,Rs. 300,18 PCS
Basket Gift Set 95,Product,Care And Beauty/Hygiene,3.622,"Rs. 1,550",10
Himalaya Baby Care Travel Kit,Product,Care And Beauty/Hygiene,3.621,"Rs. 1,270",17 PCS
Johmson's Baby Shampoo 100ml,Product,Care And Beauty/Hygiene,3.62,Rs. 178,5 PCS
Himalaya Baby Shampoo 100ml,Product,Care And Beauty/Hygiene,3.619,Rs. 170,5 PCS
Himalaya Baby Shampoo 400ml,Product,Care And Beauty/Hygiene,3.618,Rs. 568,5
Full Sleeve TShirt Little And Sweat,Product,General,605617,Rs. 600,43 PCS
Himalaya Baby Shampoo 200ml,Product,Care And Beauty/Hygiene,3.616,Rs. 240,4 PCS
Baby Shampoo 200ml (CHERAMY),Product,Care And Beauty/Hygiene,3.615,Rs. 300,6 PCS
Maternity Underwear,Product,Clothes,16.613,Rs. 500,27
Aiwibi Massage Oil 200ml,Product,Care And Beauty/Hygiene,4.612,Rs. 890,5
Aiwibi Mosquito Repellent Patches,Product,Care And Beauty/Hygiene,401611,Rs. 300,16 PCS
Talking Cactus,Product,General,13.609,Rs. 750,9
Half Pant And Skirt,Product,General,0.608,Rs. 550,21
Rockey Set (GZNN),Product,General,0.607,"Rs. 1,200",19
Cotton Set Dress (MR),Product,Clothes/Set Dress,0.605,"Rs. 1,000",10 PCS
Skirt Set Dress,Product,General,0.604,"Rs. 1,000",1 PCS
Container,Product,General,311,Rs. 600,5 PCS
Jeans Skirt,Product,General,1205603,Rs. 650,19 PAC
Outer OnePiece,Product,General,19.602,"Rs. 1,000",32 PCS
Half Jeans Set Dress (CLEMENTE),Product,Clothes/Set Dress,5.601,Rs. 850,52 PCS
Mickey Set Dress (YIMIDUO),Product,General,22.6,"Rs. 1,800",5
Polo Half Set (Size 100),Product,Clothes/Set Dress,803599,"Rs. 1,250",7
Baby Potty,Product,General,712,"Rs. 2,200",1 PCS
Cap Topi,Product,Clothes/Topi,16.595,Rs. 500,20
Baby Cotton Rope Topi Big,Product,Clothes/Topi,16.594,Rs. 450,8 PCS
Plain Set Dress,Product,Clothes/Set Dress,0.593,Rs. 800,11
color Pen 2 Pcs Set,Product,General,0.592,Rs. 850,1
Color Pant One Pieces,Product,General,0.591,Rs. 950,8
Zip Up Jacket,Product,General,0.59,"Rs. 1,400",3
Net Outer,Product,General,0.589,Rs. 600,4
1977 Half Shirt,Product,General,0.588,"Rs. 1,200",3
Yoga Pant,Product,General,0.587,Rs. 650,4 PCS
Jeans Jacket,Product,General,0.586,"Rs. 1,900",8
Color Pant Summer TShirt,Product,General,0.585,Rs. 750,55 PCS
Mikobomi Bibs,Product,General,2.584,Rs. 175,53 PCS
KPop TShirt,Product,General,21.583,Rs. 950,8 PCS
White And Pink Swaddle,Product,General,23.657,Rs. 650,15 PCS
Bow Frocks,Product,General,18.582,"Rs. 1,500",5 PCS
Disney Princes Set Dress,Product,Clothes/Set Dress,22.581,Rs. 850,55 PAC
Rockey Set,Product,Clothes/Set Dress,0.582,"Rs. 1,000",3 PCS
Baby Cotton Romper,Product,Clothes,20.58,Rs. 480,12 PCS
Jeans Girl Set,Product,Clothes/Set Dress,0.579,"Rs. 1,450",2 PCS
ALO 2 Pcs Set Dress,Product,General,--,"Rs. 2,400",2
Girl Jeans Outer,Product,General,0.577,"Rs. 2,000",3
8077 Set,Product,General,0.576,"Rs. 2,100",2
Mg Set,Product,General,0.575,"Rs. 2,200",3
frock,Product,General,5.593,Rs. 950,8
Babyhug,Product,General,--,"Rs. 1,000",4
Wheel Feeding Chair,Product,General,15.574,"Rs. 5,800",5 PCS
Dr Gym Multi Function Bottle Warmer,Product,All Product,0.573,"Rs. 3,000",8 PCS
Banana Teether,Product,General,A1.572,Rs. 350,17 PCS
Drawing 2 In 1 Board,Product,General,2404571,"Rs. 3,800",6
Korean Surwal,Product,General,6.57,Rs. 200,162
Animal Print 2 in 1 Pant Size 19-23,Product,General,18.568,Rs. 950,9
Animal Print 2 In 1 Pant size 16-20,Product,General,18.567,Rs. 850,5
Joggers Pant,Product,General,18.566,Rs. 750,9
Colour TShirt,Product,General,18.564,Rs. 450,5
Colour TShirt,,,,,
Ladies Set,Product,Clothes/Set Dress,22.563,Rs. 700,6
Small Size Fancy TShirt,Product,General,18.562,Rs. 500,12
Set (XLD),Product,General,22.561,Rs. 700,19 PCS
Medium TShirt (TG),Product,All Product,18.559,Rs. 550,2
Muslin Daura Size 3,Product,All Product,0.558,Rs. 920,31 PCS
Muslin Daura Size 1,Product,General,0.557,Rs. 820,20 PCS
Muslin Daura Size 2,Product,All Product,0.556,Rs. 870,20 PCS
Aiwibi Diaper XXL,Product,General,--,Rs. 0,2
BB Kitty Sensitive XXXL,Product,General,--,Rs. 0,4
One Piece Hat Set,Product,General,05.525A,Rs. 800,15 PCS
Looper Leap 2 Pcs Set,Product,General,22.552,Rs. 700,13
Fashion Socks,Product,General,16.551,Rs. 500,8 PRS
Baby Knee Protectors And Socks Set,Product,Clothes/Shoes And Socks,591,Rs. 450,34 PCS
Deluxe Tool Set,Product,Toys And Dolls,2400205,"Rs. 3,000",2 PCS
Magnetic Tiles Magnetic Construction Blocks,Product,Toys And Dolls,6.196,"Rs. 5,000",1 PCS
Kids Construction Truck PlaySet,Product,General,5.304,"Rs. 1,600",3 PCS
Baby Bandana Bibs,Product,General,0.546,Rs. 125,46 PCS
Half TShirt Set Of 2,Product,Clothes,0.545,Rs. 460,97 PAC
Portable Electric Breast Pump,Product,All Product,0.544,"Rs. 3,000",4 PCS
White Muslin Blanket,Product,General,27.522,Rs. 950,23 PCS
Zuvara Period Panties L-XL,Product,General,3.691,Rs. 150,38 PCS
Malmal Frock Size 9,Product,General,26.521,"Rs. 2,800",3 PCS
Malmal Frock Size 7,Product,Clothes,26.52,"Rs. 2,600",7 PCS
Malmal Frock Size 5,Product,Clothes,26.519,"Rs. 2,400",9 PCS
Malmal Frock Size 4,Product,General,26.518,"Rs. 2,200",4 PCS
Malmal Frock Size 3,Product,Clothes,26.517,"Rs. 1,200",30 PCS
Malmal Frock Size 2,Product,Clothes,26.516,"Rs. 1,100",10 PCS
Malmal Frock Size 1,Product,Clothes,26.515,"Rs. 1,000",20 PCS
Sinsay Set Dress,Product,Clothes/Set Dress,0.499,Rs. 600,8
Alphamed Infrared Thermeter,Product,All Product,708,"Rs. 4,500",1 PCS
Fashion Wear Jeans,Product,General,0.498,Rs. 700,11 PCS
Fancy TShirt,Product,Clothes,6.497,Rs. 650,1 PCS
Eva Puzzle Mats,Product,General,13.413,"Rs. 1,200",14 PCS
Big Bag,Product,Clothes,0.496,Rs. 450,1
Small Bag,Product,General,0.495,Rs. 350,18 PCS
Ice Sando Size 160,Product,General,16.494,Rs. 350,4 PCS
Ice Sando Size 120,Product,General,16.492,Rs. 350,2
Ice Sando Size 110,Product,General,16.491,Rs. 350,1 PCS
Ice Sando Size 80,Product,General,16.488,Rs. 0,7 PCS
Ice Sando Size 66,Product,Clothes,16.485,Rs. 350,4 PCS
Neno Hat,Product,Clothes/Topi,16.484,Rs. 450,6 PCS
Unicorn Hat,Product,Clothes/Topi,16.483,Rs. 550,1 PCS
Duck Printed Cap,Product,Clothes/Topi,16.482,Rs. 450,2 PCS
Bow Hat,Product,Clothes/Topi,16.481,Rs. 350,13 PCS
SpiderMan Cap,Product,Clothes/Topi,16.48,Rs. 450,1 PCS
Light Cap,Product,Clothes/Topi,16.479,Rs. 450,4 PCS
cutete hat,Product,General,16.477,Rs. 350,8 PCS
Lion Rockey Set,Product,General,5.477,"Rs. 1,500",3 PCS
Cotton Zama,Product,Clothes,19.476,Rs. 670,2 PCS
Half Ice Set,Product,General,802475,Rs. 950,4 PCS
Muslin 5 Pcs Set,Product,Clothes,0.474,Rs. 700,20 PCS
Baby Silicone Single Spoon,Product,Nursing And Feeding,1.473,Rs. 120,35 PCS
Feeding Pillow,Product,Clothes,472,"Rs. 1,600",17 PCS
NB Hair Clip,Product,Care And Beauty,1.471,Rs. 200,11 PCS
Cotton Surwal,Product,General,0.47,Rs. 350,44 PCS
Cotton Cami Large,Product,General,--,Rs. 350,37
Cotton Cami Size XL,Product,General,--,Rs. 350,9
Printed Hat,Product,Clothes/Topi,0.467,Rs. 550,8 PCS
Hat WIth Rubber,Product,Clothes/Topi,0.466,Rs. 500,10 PCS
Thai Socks,Product,Clothes/Shoes And Socks,0.465,Rs. 200,127 PCS
Cotton Lining Topi,Product,Clothes/Topi,16.464,Rs. 350,28 PCS
Baby Cotton Rope Topi Small,Product,General,16.463,Rs. 450,13 PCS
Jeans Set (Girls),Product,Clothes,0.46,"Rs. 2,350",2 PAC
54943 Frock,Product,Clothes,0.459,"Rs. 2,100",2 PCS
Floral Set,Product,Clothes,0.458,"Rs. 1,050",1
Mitten Set Of Topi And Socks,Product,Clothes,24.709,"Rs. 1,200",15 PAC
Baby Socks Packet Of 3,Product,General,0.457,Rs. 290,42 PAC
Maternity Belt,Product,All Product,0.456,"Rs. 1,000",15 PCS
Baby Soft 2 Pcs Rattle,Product,Toys And Dolls,2.455,Rs. 550,15 PCS
White Bunny,Product,Toys And Dolls,13.454,Rs. 550,14 PCS
Rabbit Soft Doll,Product,Toys And Dolls,0.453,Rs. 900,1 PCS
Cool Cute Bus Bottle,Product,Nursing And Feeding,4.452,Rs. 850,10 PCS
Chinise Panty DIsposable,Product,Care And Beauty/Hygiene,0.451,Rs. 450,54 PCS
Disinfector For Baby Feeding Bottle,Product,Nursing And Feeding,14.45,"Rs. 4,000",12 PCS
Rattle Feeding Chair,Product,Nursing And Feeding,13.449,"Rs. 5,000",3 PCS
Kodomo Liquid,Product,Care And Beauty/Hygiene,4.448,"Rs. 1,000",6 PCS
Guitar,Product,Toys And Dolls,10.448,"Rs. 1,200",2
3 Pcs Headband Set,Product,Care And Beauty,1.447,Rs. 450,1
Small Tent,Product,Toys And Dolls,13.447,"Rs. 2,200",2
Silicion Spinner,Product,Toys And Dolls,1012,Rs. 950,18 PCS
SuperHero Set Dress,Product,Clothes/Set Dress,0.445,Rs. 850,8 PCS
Dr Gym Feeding Bottles 240ml,Product,Nursing And Feeding,3.429,Rs. 700,20 PCS
Dr Gym Feeding Bottles 120ml,Product,Nursing And Feeding,3.428,Rs. 500,16
Combo,Product,Clothes,690,"Rs. 3,650",17
Half Shirt (Mix Colour),Product,Clothes,202442,Rs. 450,26 PCS
Unicorn Bottle,Product,Nursing And Feeding,7859,Rs. 500,4
Mickey Romper,Product,Clothes/Romper,0.441,Rs. 600,18
White Full Button Romper,Product,Clothes/Romper,0.44,Rs. 600,6
Button Surwal,Product,Clothes,0.439,Rs. 500,7
Dungaree,Product,Clothes/Romper,0.437,Rs. 600,40
Bunny Romper,Product,Clothes/Romper,0.436,Rs. 600,3
Blue And Red Tutu Frock,Product,Clothes,0.434,Rs. 650,3
Muslin Daura M,Product,Clothes,8.429,Rs. 820,19
Muslin Daura L,Product,General,0.428,Rs. 870,5 PCS
Thai Set,Product,General,0.431,Rs. 550,55
PhotoShoot Dress,Product,Clothes,84,Rs. 0,11
Mix Bottle,Product,Nursing And Feeding,519,Rs. 440,29
Diaper Panty printed,Product,All Product,1018,Rs. 375,2
Frock Zama,Product,All Product,0.424,"Rs. 3,500",6
Wind Cheatter,Product,Clothes,0.412,Rs. 700,38
Diseny Purple Set,Product,All Product,0.419,Rs. 750,22
Mickey And Dog Set Dress,Product,All Product,0.417,Rs. 750,9
Short Tshirt Set Dress,Product,All Product,6.416,Rs. 800,59
shirt,Product,All Product,--,Rs. 0,171
Wireless Speaker With MIcrophone,Product,General,0.41,"Rs. 1,250",10
Lining Romper,Product,Clothes,0.409,Rs. 650,11
Gaun Set Cotten,Product,All Product,0.408,"Rs. 1,850",37
Muslin Blanket,Product,All Product,0.407,Rs. 750,30 PCS
Cotton Topi,Product,Clothes/Topi,0.406,Rs. 300,54
Mom And Baby Set,Product,All Product,0.405,"Rs. 2,150",14
Cartoon Bath towel,Product,All Product,0.404,Rs. 750,24
Diaper Bag,Product,All Product,0.403,"Rs. 1,750",12
Turban Hairband,Product,All Product,0.402,Rs. 150,85
Rope hair Baby Topi,Product,Clothes,0.401,Rs. 350,17
Hair baby Topi,Product,Clothes,0.4,Rs. 400,73
Turban,Product,Clothes,0.399,Rs. 350,73
Long Socks,Product,All Product,0.398,Rs. 350,31
Labubu Side Bag,Product,All Product,0.397,Rs. 900,11
Labubu Bag,Product,All Product,0.396,Rs. 950,4
color Pencil Set,Product,Toys And Dolls,2702395,Rs. 400,17
Happy Day pencel with eraser,Product,Toys And Dolls,0.394,Rs. 150,15
Long Fancy Ereaser,Product,Toys And Dolls,0.393,Rs. 120,2
Gaming pencil,Product,Toys And Dolls,0.392,Rs. 170,25
Crayons Plastic Soft Writing,Product,Toys And Dolls,2702391,Rs. 450,8
Small Note Book,Product,Toys And Dolls,0.39,Rs. 350,38
Fancy Sharpner,Product,Toys And Dolls,2502389,Rs. 650,10 PCS
Bear eraser,Product,Toys And Dolls,0.388,Rs. 100,20
Cute small kitten Eraser,Product,Toys And Dolls,0.387,Rs. 100,62
Rabbit Cap Pencil,Product,Toys And Dolls,0.386,Rs. 450,13
Flower Fairy 10 pcs Pencal Set,Product,Toys And Dolls,00.385|6956646887212,Rs. 400,20
Eraser,Product,Toys And Dolls,0.384,Rs. 350,29
Dairy,Product,Toys And Dolls,0.383,Rs. 650,15
College T shirt,Product,Clothes,382,Rs. 500,1
Mix design cami,Product,Clothes,0.381,Rs. 300,36
Flashing BAll,Product,Toys And Dolls,00.380|11.380,Rs. 350,5
Half Fruit design Romper,Product,Clothes/Romper,00.379|20.379,Rs. 750,6
Nuby 4 Stage Bottle,Product,Nursing And Feeding,4.377,"Rs. 1,400",43
trouser,Product,Clothes,0.376,Rs. 650,31
Malmal Full frock,Product,Clothes,0.375,Rs. 950,40
Kuromi Legging,Product,Clothes,0.374,"Rs. 1,000",65
Gold Lucket,Product,All Product,0.372,"Rs. 1,250",2
Shower Bibs,Product,Clothes,0.37,Rs. 250,24
Pig 2 Pcs set,Product,Clothes/Romper,0.369,Rs. 700,13
Saree,Product,Flair Nepal,0.368,"Rs. 2,400",12
Red Sarre,Product,Flair Nepal,0.367,Rs. 950,22
Cushion Net,Product,Clothes,0.365,"Rs. 1,700",12
Bow And Button Romper,Product,Clothes/Romper,0.364,Rs. 750,18
Vaishali Color Album,Product,Care And Beauty,0.363,Rs. 700,1
Kaftan,Product,Flair Nepal,0.361,Rs. 750,2
Printed Topi,Product,Clothes/Topi,9.36,Rs. 170,144
Calaido Scop,Product,Toys And Dolls,0.359,Rs. 200,18
Stress Relifer Giraffe,Product,Toys And Dolls,0.358,Rs. 150,7
Finger Chu-CHu,Product,Toys And Dolls,2302357,Rs. 650,4 PAC
Dinosour Patta,Product,Toys And Dolls,2302356,Rs. 700,5
Dora,Product,Toys And Dolls,2301355,Rs. 950,2
Memory Pillow,Product,Clothes,0.354,"Rs. 1,000",73
Ring Tower,Product,Toys And Dolls,2702353,Rs. 350,4
Clay,Product,Toys And Dolls,2702352,Rs. 150,8
Ligh down Series Jacket,Product,Clothes,0.351,"Rs. 1,700",5
Pigge Bag,Product,Toys And Dolls,0.35,"Rs. 2,900",10
Pigge Box,Product,Toys And Dolls,0.349,"Rs. 1,000",18
Flash Card,Product,Toys And Dolls,12.348,Rs. 850,21
Counting Number,Product,Toys And Dolls,2403347,Rs. 750,22
Rubber HairBand,Product,Care And Beauty,0.346,Rs. 200,5
Pears HairBand,Product,Care And Beauty,0.345,Rs. 250,4
Flower HairBands,Product,Care And Beauty,0.344,Rs. 250,2
Cocoon Buds XLL 36 Pcs,Product,Care And Beauty/Hygiene,3.343,"Rs. 1,100",2
Lailai Hair Clips,Product,Care And Beauty,1.342,Rs. 250,30
One piece Summer Frock,Product,Clothes,0.339,"Rs. 1,050",2
Round Neck Pj Set,Product,Clothes,0.338,"Rs. 1,300",9
cami,Product,Clothes,0.3317,Rs. 175,90
yellow Cotten PJ,Product,Clothes,0.336,"Rs. 1,100",5
cotten Blanket,Product,Clothes,0.334,"Rs. 1,300",4
Magic Water Canvas,Product,Toys And Dolls,2403333,"Rs. 1,250",4
Pets Diy Car,Product,Toys And Dolls,2302332,"Rs. 1,700",2 PCS
Knock The Ball,Product,Toys And Dolls,0.331,Rs. 700,1
Busy Board with Busy Book,Product,Toys And Dolls,9.417,"Rs. 1,700",9
Shine Hoodie,Product,Clothes,0.327,Rs. 850,1
Green Black Pj Set,Product,Clothes,326,Rs. 920,1
Button Mickey Set,Product,Clothes/Set Dress,0.325,"Rs. 2,100",6
Outer Jeans Jacket,Product,Clothes,0.323,"Rs. 1,250",13
Green Jacket,Product,Clothes/Set Dress,0.322,"Rs. 1,950",1
Alo Set Dress,Product,Clothes/Set Dress,0.321,"Rs. 2,100",15
jeans Fur Jacket,Product,Clothes,0.32,"Rs. 1,500",9
Fur Bhoto ExtraLarge(XL),Product,Clothes,9.319,Rs. 350,14
Fur Bhoto Medium(M),Product,Clothes,9.317,Rs. 300,7
Green Polar Set Dress,Product,Clothes/Set Dress,5.314,"Rs. 1,650",29
Baby Grip Sock Set Packet Of 3,Product,Clothes/Shoes And Socks,9.313,Rs. 350,105 PAC
Boy 2 Pcs Set,Product,Clothes/Set Dress,0.312,"Rs. 1,000",44
Yellow Pj Set,Product,Clothes,0.31,"Rs. 1,300",12
Baby Down Jacket,Product,Clothes,0.309,"Rs. 1,700",4
Baby School Bag,Product,Clothes,0.308,Rs. 800,47
Polar 2 pcs Set,Product,Flair Nepal,5.306,"Rs. 1,250",1
Kuromi Geometry Box,Product,Toys And Dolls,11.305,Rs. 900,4
Anti-Cracking Lip Blam,Product,Care And Beauty,0.304,Rs. 200,7
Fancy Cube,Product,Toys And Dolls,303,"Rs. 1,500",16
Baby Vision Trigger Card,Product,Toys And Dolls,2502302,Rs. 450,18 PCS
Muslin Urine Mat 180*200,Product,Clothes,301,"Rs. 2,800",10
Muslin Urine Mat 150*200,Product,Clothes,0.3,"Rs. 2,500",28
Little Librarian 10 Set Books,Product,Toys And Dolls,0.299,Rs. 870,1
Little Scholars's 12 Books Set,Product,Toys And Dolls,298,Rs. 950,16
Feeding Chair,Product,Nursing And Feeding,0.297,"Rs. 3,000",2 PCS
PreSchool Puzzle Toy,Product,Toys And Dolls,2403296,"Rs. 1,750",8
Baby Shape,Product,Toys And Dolls,11.295,Rs. 650,24
Funny Cell Phone,Product,Toys And Dolls,11.293,Rs. 950,5
Happy Baby Pull String Toy,Product,Toys And Dolls,11.292,Rs. 650,15
Cloth PullBack Car,Product,Toys And Dolls,2202291,"Rs. 2,050",3
Family Game Stacking Game - Funny Animal friends,Product,Toys And Dolls,2601204,"Rs. 2,700",2
3 Pcs Baby Spinner,Product,Toys And Dolls,0.288,Rs. 650,5 PAC
Blue One Piece Frock,Product,Clothes,0.287,"Rs. 3,500",1
Hayaati Perfume,Product,Care And Beauty,0.286,Rs. 950,4
Dianosur,Product,Toys And Dolls,12.641,Rs. 300,2
Comfort Legging,Product,Clothes,0.283,Rs. 750,2
Cotrise Surwal,Product,Clothes,0.282,Rs. 750,4
Button Romper,Product,Clothes/Romper,0.281,Rs. 490,3
2 in 1 Bibs,Product,Clothes,0.28,Rs. 650,30
Cotten Thermal Set Dress,Product,Clothes/Set Dress,9.279,Rs. 820,2
Box Jogger,Product,Clothes,0.278,"Rs. 1,100",9
Plain Woolen High Neck,Product,Clothes,0.277,Rs. 900,8
Zip SweatShirt,Product,Clothes,0.275,Rs. 950,2
Woolen 3 Pcs Set,Product,Clothes/Set Dress,0.274,"Rs. 1,400",2
woolen Desgin T Neck,Product,Clothes,0.273,Rs. 600,3
muslin Towel,Product,Clothes,0.272,Rs. 250,59
Cotten Towel,Product,Clothes,0.271,Rs. 350,36
Printed 2 Pcs Set,Product,Clothes/Set Dress,0.27,Rs. 750,7
Big Woolen Teddy Set Dress,Product,Flair Nepal,0.268,"Rs. 2,200",4
Light Car,Product,Toys And Dolls,11.267,Rs. 650,79
space explore and Constructor,Product,Toys And Dolls,11.266,Rs. 400,110
woolen teddy set,Product,Clothes/Set Dress,6.265,Rs. 720,7
Himalaya Baby Wet Wipes,Product,Care And Beauty,3.264,Rs. 95,14
Space Bubble,Product,Toys And Dolls,0.263,"Rs. 1,050",20
Summer Baby Romper,Product,Clothes/Romper,0.261,Rs. 700,37
Bus Money Bank,Product,Toys And Dolls,0.26,"Rs. 1,050",8
Baby Kitchen Set,Product,All Product,0.259,"Rs. 1,600",3
Baby Feeding Set,Product,Care And Beauty,153|15.153,"Rs. 3,200",2
Aiwibi Baby Set,Product,Care And Beauty,0.254,"Rs. 3,500",1
Hair Clips,Product,Care And Beauty,0.253,Rs. 200,3
Rose Lips Balm,Product,Care And Beauty,0.252,Rs. 200,12
Strawberry Lips BALM,Product,Care And Beauty,0.251,Rs. 100,20
Baby Fingerprint,Product,Toys And Dolls,0.249,Rs. 850,5
HighLighter,Product,Toys And Dolls,744,Rs. 450,10
Glitter Note Book,Product,Toys And Dolls,2502393,Rs. 450,4
Correction Tape,Product,Toys And Dolls,747,Rs. 400,18
Silicon Senseable Doll,Product,Toys And Dolls,2202244,"Rs. 4,600",2
Gown,Product,Clothes,0.243,"Rs. 1,000",2
Mickey Mouse Set Dress,Product,Clothes,0.242,"Rs. 1,550",16
Gaun,Product,Clothes,0.241,"Rs. 1,600",17
Polar High Neck,Product,Clothes,0.24,Rs. 650,9
Ra Wa Dianosaur Topi,Product,Clothes/Topi,16.239,Rs. 450,3
Bottle Cleaner B,Product,Care And Beauty/Hygiene,0.238,Rs. 250,38
Thermal design Set Dress,Product,Clothes/Set Dress,0.237,Rs. 700,2
Light Gogo mogo Topi,Product,Clothes/Topi,16.235,Rs. 400,13
Gogo Mogo Big Eye Topi,Product,Clothes/Topi,16.234,Rs. 350,7
Baby Nappy,Product,Clothes,619,Rs. 850,14
Care Kit,Product,Care And Beauty,573,Rs. 850,11
XSW Box Pant,Product,Clothes,596|16.596,"Rs. 1,500",1
Box Pant,Product,Clothes,18.778,Rs. 900,7
Deer Pant,Product,Clothes,595|18.595,"Rs. 1,500",12
Carrying Bag,Product,Clothes,0.227,"Rs. 2,700",6
Sunglasses With Clips,Product,Care And Beauty,1.226,Rs. 420,20
Aiwibi Baby Foaming Cleanser 480ml,Product,Care And Beauty/Hygiene,4.225,Rs. 650,5
Aiwibi NB Baby Feeding Bottle 120ML,Product,Nursing And Feeding,4.224,Rs. 890,3
Aiwibi Baby Facial Cream,Product,Care And Beauty,4.223,Rs. 650,6
Coca Sattu,Product,Food,25.221,Rs. 465,3 PCS
Cocoon Buds S 44 Pcs,Product,Care And Beauty/Hygiene,3.219,"Rs. 1,080",5
3 pcs Bow Set,Product,Clothes,0.218,"Rs. 2,500",5
3 Pcs Set Button Coat Set,Product,Clothes,0.217,"Rs. 2,400",3
Kitten Jacket,Product,Clothes,0.216,"Rs. 3,000",1
Glitter 2 Pcs frock,Product,Clothes,19.215,"Rs. 2,500",4
Bow 2 Pcs Frock,Product,Clothes,19.214,"Rs. 3,000",1
Cocoon Buds XL 36 Pcs,Product,Care And Beauty/Hygiene,3.212,"Rs. 1,100",6
Cocoon Buds NB 22 Pcs,Product,Care And Beauty/Hygiene,3.211,Rs. 545,27
Cocoon Buds M 42 Pcs,Product,Care And Beauty/Hygiene,3.21,"Rs. 1,080",3
Cocoon Buds L 40 Pcs,Product,Care And Beauty/Hygiene,3.209,"Rs. 1,080",4
Healthy Tiffin Box,Product,Nursing And Feeding,4.207,Rs. 850,2
Letter Board,Product,Toys And Dolls,14.206,"Rs. 1,200",39
Burger Tiffen Box,Product,Nursing And Feeding,04.205|01.205,"Rs. 1,050",1
Portable Baby Bottle,Product,Nursing And Feeding,04.204|01.204,"Rs. 1,200",16
Soup Cup,Product,Nursing And Feeding,03.203|01.203,"Rs. 1,000",1
3 In 1 Ratter,Product,Toys And Dolls,1.202,Rs. 570,32
Giraffe Teether,Product,Toys And Dolls,1.201,Rs. 670,35
Mido Brush,Product,Care And Beauty/Hygiene,1.2,Rs. 190,2
Children Rabbit Bottle,Product,Nursing And Feeding,4.199,"Rs. 1,400",6
Scooter Toy,Product,Toys And Dolls,0.198,Rs. 200,2
Labubu Doll,Product,Toys And Dolls,2101662,"Rs. 1,000",10
Baby Musical Walker,Product,Toys And Dolls,2105491,"Rs. 5,400",11 PCS
Mat,Product,Clothes,24.654,"Rs. 2,500",1
Blanket With Pillow,Product,Clothes,289|00.289,"Rs. 1,200",8
6 Pcs Hankey Set,Product,Clothes,590|00.590,"Rs. 1,300",8
Holding Blanket,Product,Clothes,523|23.523,Rs. 950,11
Polar Swaddle,Product,Clothes,23.722,Rs. 950,7
Swaddle,Product,Clothes,524|00.524,Rs. 850,16
Thermal Set Size 110,Product,Clothes/Set Dress,9.76,Rs. 990,1
Aiwibi Kids Toothpaste,Product,Care And Beauty/Hygiene,3.188,Rs. 200,5
Monkey Cap,Product,Clothes/Topi,0.754,Rs. 300,16
Christmas Romper,Product,Clothes/Romper,20.186,Rs. 790,3
Christmas Romper,,,,,
BeetRoot Powder,Product,Food,1701184,Rs. 425,1 PCS
Kids Down Jacket,Product,Clothes,0.181,"Rs. 2,200",2
kitten Christmas Set Dress,Product,Clothes/Set Dress,0.179,"Rs. 2,100",4
Christmas Set,Product,Clothes/Set Dress,0.178,"Rs. 1,700",5
Rabbit Jogger,Product,Clothes,0.175,Rs. 550,15
Superhero Jogger,Product,Clothes,0.174,Rs. 650,29
Pink Jogger,Product,Clothes,18.172,Rs. 550,108
Cotton Tight Stocking,Product,Clothes,16.171,Rs. 550,49
Police Off Road Car,Product,Toys And Dolls,11.17,Rs. 650,14
Caterpillars Baby Toy,Product,Toys And Dolls,11.169,Rs. 350,42
Uk Socks,Product,Clothes/Shoes And Socks,0.168,Rs. 400,46
Gap Jogger,Product,Clothes,18.167|00.167,Rs. 850,1
Ribbon Pant 26-30,Product,Clothes,18.165,"Rs. 1,550",3
Ribbon Pant 16-20,Product,Clothes,18.163,"Rs. 1,300",5
Pocket Bear Pant,Product,Clothes,18.162,"Rs. 1,350",3
High Quality Cotton Pant,Product,Clothes,18.161,"Rs. 1,350",5
Bath Rob,Product,Clothes,0.154,"Rs. 1,400",3
Blanket With Teddy Toy,Product,Clothes,0.151,"Rs. 1,450",9
Trench Coat,Product,Clothes,0.15,"Rs. 3,200",11
Verrnon Juniors Boxer,Product,Clothes,0.144,Rs. 750,70
Big Bow Zip Set Dress,Product,Clothes/Set Dress,0.143,"Rs. 1,850",1
XEB Kids Jacket,Product,Clothes,6.14,"Rs. 1,250",5
Angle Children Water Bottle,Product,Nursing And Feeding,4.139,"Rs. 1,250",3
Syltan Grip Socks,Product,Clothes/Shoes And Socks,0.138,"Rs. 1,200",41.5 PAC
Attach Tneck Set Dress,Product,Clothes/Set Dress,5.765,"Rs. 1,040",11
